address,unit_number,price,city,state,zipcode,beds,baths,garage,property_size,lot_size,property_type,broker,date_scraped
2195 S Bellaire St,,3670300,Denver,CO,80222,,,,9250,,Land,RE/MAX Professionals,2017-03-16
22 S Monroe St,,765000,Denver,CO,80209,3,4,2,2644,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
220 Del Norte St,,229000,Denver,CO,80221,3,1,2,984,9636,Single Family Home,HOME REAL ESTATE,2017-03-16
2200 Grape St,,625000,Denver,CO,80207,3,3,2,2657,5210,Single Family Home,RE/MAX Masters Millennium,2017-03-16
2200 Grape St,,625000,Denver,CO,80207,3,2,2,2657,5210,Multi-Family,RE/MAX Masters Millennium,2017-03-16
2200 S University Blvd,201,425000,Denver,CO,80210,2,3,3,1308,,Condo/Townhome/Row/H,Mountain View Real Estate,2017-03-16
2201 S Grape St,,475000,Denver,CO,80222,4,3,4,2441,8581,Single Family Home,Precision Homes Real Estate,2017-03-16
2209 S Decatur St,,430000,Denver,CO,80219,3,2,,4000,9310,Single Family Home,Morgan Realty Co,2017-03-16
2211 Eliot St,,594900,Denver,CO,80211,3,4,2,1615,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2225 Perry St,,875000,Denver,CO,80212,3,4,2,2377,5710,Single Family Home,Keller Williams Integrity Real Estate,2017-03-16
2226 S Galapago St,,199900,Denver,CO,80223,,,,6250,,Land,Modern Real Estate,2017-03-16
2229 Eliot St,,610000,Denver,CO,80211,3,4,2,1657,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
223 S Milwaukee St,,1497000,Denver,CO,80209,4,3,6,3608,16117,Single Family Home,RE/MAX Professionals,2017-03-16
223 S Milwaukee St,,1497000,Denver,CO,80209,,,,,16117,Land,RE/MAX Professionals,2017-03-16
2231 N Marion St,,825000,Denver,CO,80205,4,3,4,3093,6310,Single Family Home,A BETTER WAY REALTY,2017-03-16
2233 Eliot St,2,680000,Denver,CO,80211,4,4,2,1941,,Single Family Home,Real Estate Denver Team,2017-03-16
2240 N Clay St,602,474800,Denver,CO,80211,2,2,2,1068,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY DTC,2017-03-16
2243 W 32nd Ave,10,565000,Denver,CO,80211,2,3,2,1470,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2245 Blake St,I,599000,Denver,CO,80205,2,2,1,1703,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
226 Monroe St,,2975000,Denver,CO,80206,4,6,3,4982,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2267 N Ogden St,C,1750000,Denver,CO,80205,3,4,2,5768,18731,Condo/Townhome/Row/H,Windermere Metro Denver Real Estate,2017-03-16
2273 Ivy St,,1275000,Denver,CO,80207,4,5,3,3768,6250,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
2274 W 31st Ave,,659000,Denver,CO,80211,3,3,2,1722,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
228 Jackson St,,799000,Denver,CO,80206,3,3.5,2,3308,3125,Condo/Townhome/Row/H,Platinum One,2017-03-16
2281 Jasmine St,,594900,Denver,CO,80207,3,2,2,1920,6250,Single Family Home,Redfin Corporation,2017-03-16
2287 S Columbine St,,1200000,Denver,CO,80210,5,4,3,3634,8360,Single Family Home,Perry & Co. - Main Office,2017-03-16
23 N Clarkson St,6,185000,Denver,CO,80218,1,1,,576,,Condo/Townhome/Row/H,Four Star Realty,2017-03-16
2300 S Monroe St,,1795000,Denver,CO,80210,5,6,3,5939,23087,Single Family Home,Kentwood Company,2017-03-16
2301 Hooker St,,699900,Denver,CO,80211,3,3,2,2480,2630,Single Family Home,HOME REAL ESTATE,2017-03-16
2311 Champa St,,399900,Denver,CO,80205,2,1,1,1410,752,Condo/Townhome/Row/H,Colorado Real Estate Company,2017-03-16
2320 S Cook St,,1597800,Denver,CO,80210,5,6,2,4114,6382,Single Family Home,COLORADO HOMEFINDER LLC,2017-03-16
2323 W 45th Ave,,649999,Denver,CO,80211,5,2,6,2674,7500,Single Family Home,Dreiling Real Estate Co,2017-03-16
2330 N Clay St,1,630000,Denver,CO,80211,2,3,2,1620,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2332 N Clay St,2,515000,Denver,CO,80211,2,3,2,1458,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2335 Eliot St,,490000,Denver,CO,80211,2,3,2,1301,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2337 Eliot St,,475000,Denver,CO,80211,2,3,2,1277,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2339 N Raleigh St,,839900,Denver,CO,80212,4,4,3,2481,6350,Single Family Home,LIVE Urban Real Estate,2017-03-16
2341 Decatur St,,691000,Denver,CO,80211,2,4,2,1775,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2341 Eliot St,,489900,Denver,CO,80211,2,3,2,1281,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2343 Decatur St,,586000,Denver,CO,80211,2,4,2,1556,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2349 Decatur St,,611500,Denver,CO,80211,2,4,2,1560,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2350 S Knox Ct,,354900,Denver,CO,80219,4,2,2,1470,6420,Single Family Home,Mb Real Estate Professiona1s,2017-03-16
2351 Decatur St,,706000,Denver,CO,80211,2,3,2,1775,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2351 Eliot St,,509900,Denver,CO,80211,2,3,2,1281,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2353 E Alameda Ave,,1795000,Denver,CO,80209,4,4,2,4040,11761,Single Family Home,Perry & Co. - Main Office,2017-03-16
2375 S Irving St,,289900,Denver,CO,80219,3,2,2,931,6460,Single Family Home,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
2375 S Linden Ct,S218,130000,Denver,CO,80222,1,1,,703,,Condo/Townhome/Row/H,RE/MAX UNLIMITED  INC.,2017-03-16
2380 S Madison St,,940000,Denver,CO,80210,5,3,1,3395,9560,Single Family Home,KELLER WILLIAMS REALTY SUCCESS,2017-03-16
240 S Ivy St,,649000,Denver,CO,80224,4,2,2,2228,7290,Single Family Home,Kentwood City Properties,2017-03-16
2400 E Cherry Creek South Dr,106,2500000,Denver,CO,80209,3,4,4,4530,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2400 N Broadway,4,300000,Denver,CO,80205,1,1,1,919,10454,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
2400 S Jackson St,,825000,Denver,CO,80210,4,2,6,2516,20473,Single Family Home,Allstars Real Estate,2017-03-16
2400 S Jackson St,,825000,Denver,CO,80210,,,,,20473,Land,Allstars Real Estate,2017-03-16
2401 N Clay St,,600000,Denver,CO,80211,4,2,2,1500,4350,Single Family Home,Brokers Guild Classic,2017-03-16
2401 S Cook St,,1349000,Denver,CO,80210,5,6,2,6070,6370,Single Family Home,Brokers Guild Classic,2017-03-16
2415 N York St,,569900,Denver,CO,80205,5,3,2,2236,4690,Single Family Home,Usaj Realty,2017-03-16
2419 S Columbine St,,1295000,Denver,CO,80210,6,5,4,4768,7500,Single Family Home,Brick And Mortar Realty Llc,2017-03-16
2419 S Cook St,,1195000,Denver,CO,80210,4,5,2,6315,6370,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
2421 Eliot St,,585000,Denver,CO,80211,4,2,5,2729,5260,Single Family Home,RE/MAX Masters Millennium,2017-03-16
2422 Tremont Pl,205,308000,Denver,CO,80205,1,1,1,827,,Condo/Townhome/Row/H,Cherry Creek Properties LLC,2017-03-16
2423 W 41st Ave,,995000,Denver,CO,80211,6,5,2,3530,6370,Single Family Home,RICH BORGA,2017-03-16
2428 W 38th Ave,,610000,Denver,CO,80211,3,3,3,1933,4690,Single Family Home,LIV Sotheby's International Realty,2017-03-16
243 S Eliott St,,219000,Denver,CO,80219,4,2,6,1838,6750,Multi-Family,RE/MAX Professionals,2017-03-16
2431 S Monroe St,,1799000,Denver,CO,80210,5,6,2,5276,6370,Single Family Home,Coldwell Banker Residential Brokerage - Southeast ,2017-03-16
2434 S Boston St,,2395000,Denver,CO,80231,4,6,3,8279,10454,Single Family Home,RE/MAX Professionals,2017-03-16
2435 N York St,,450000,Denver,CO,80205,3,1,2,1879,4690,Single Family Home,Resident Realty Westminster,2017-03-16
244 S Monroe St,,857000,Denver,CO,80209,4,4,2,3696,,Condo/Townhome/Row/H,Your Castle Real Estate,2017-03-16
2441 N Broadway,201,390000,Denver,CO,80205,1,2,2,925,29621,Condo/Townhome/Row/H,RE/MAX ALLIANCE,2017-03-16
2441 N Broadway,213,359000,Denver,CO,80205,1,2,1,846,,Condo/Townhome/Row/H,Cherry Creek Properties LLC,2017-03-16
2441 S Columbine St,,1590000,Denver,CO,80210,5,5,2,5819,7500,Single Family Home,KELLER WILLIAMS REALTY DTC,2017-03-16
2442 Champa St,,750000,Denver,CO,80205,3,5,2,2314,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY-DENVER SOUTHEAST,2017-03-16
245 S Krameria St,,1725000,Denver,CO,80224,5,5,4,6091,8610,Single Family Home,LIV Sotheby's International Realty,2017-03-16
2450 E Alameda Ave,3,1395000,Denver,CO,80209,4,5,3,5732,10890,Single Family Home,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
2457 S Cook St,,1749900,Denver,CO,80210,6,7,3,5956,6370,Single Family Home,Dvx Properties Llc,2017-03-16
2459 Lawrence St,,475000,Denver,CO,80205,,,,3140,,Land,Your Element Realty,2017-03-16
2460 W 29th Ave,401,370000,Denver,CO,80211,1,1,1,801,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
2460 W 65th Pl,,775000,Denver,CO,80221,,,,,112385,Land,Keller Williams Preferred Realty,2017-03-16
2461 Lawrence St,,475000,Denver,CO,80205,,,,3140,,Land,Your Element Realty,2017-03-16
2465 S Garfield St,,1595000,Denver,CO,80210,6,5,2,4860,6250,Single Family Home,Gourmet Real Estate,2017-03-16
248 S Xavier St,,325000,Denver,CO,80219,4,2,3,2204,6000,Single Family Home,Coldwell Banker Residential Brokerage - Denver Cen,2017-03-16
2480 S Jasmine Pl,,499000,Denver,CO,80222,4,2,2,2568,13068,Single Family Home,Your Castle Real Estate,2017-03-16
2480 S Wolff St,,367000,Denver,CO,80219,4,2,2,1760,8590,Single Family Home,My Home Realty Group,2017-03-16
2482 S Saint Paul St,,1995000,Denver,CO,80210,6,5,3,5441,7800,Single Family Home,LIV Sotheby's International Realty,2017-03-16
2482 S Yosemite St,,490000,Denver,CO,80231,,,,,11761,Land,RE/MAX Professionals,2017-03-16
25 N Downing St,1-1201,5000000,Denver,CO,80218,3,4,4,6419,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2500 Lawrence St,200,678961,Denver,CO,80205,2,2,1,1282,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2501 S Dahlia St,,1400000,Denver,CO,80222,,,,,56192,Land,Kentwood City Properties,2017-03-16
2503 W 108th Pl,,469900,Denver,CO,80234,5,2.5,3,2951,10019,Single Family Home,Keller Williams 1st Reatly  Inc.,2017-03-16
2506 S Kearney St,,475000,Denver,CO,80222,3,3,2,3028,9801,Single Family Home,Public Realty Company,2017-03-16
2515 N York St,,450000,Denver,CO,80205,4,2,,2426,6250,Single Family Home,TRELORA,2017-03-16
2515 S Milwaukee St,,820000,Denver,CO,80210,3,4,2,2220,7500,Single Family Home,Your Castle Real Estate,2017-03-16
2517 N Decatur St,,520000,Denver,CO,80211,2,3,2,1293,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2517 S Clermont St,,400000,Denver,CO,80222,4,1,2,1685,7330,Single Family Home,MADISON AND COMPANY PROPERTIES,2017-03-16
2518 N Washington St,,725000,Denver,CO,80205,3,4,2,2456,,Condo/Townhome/Row/H,TRELORA,2017-03-16
2525 Arapahoe St,D315,570731,Denver,CO,80205,2,2,1,1102,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D104,378937,Denver,CO,80205,0,1,1,675,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D208,332124,Denver,CO,80205,0,1,,578,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D113,436719,Denver,CO,80205,1,1,1,800,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D206,607772,Denver,CO,80205,2,2,1,1307,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D214,586903,Denver,CO,80205,2,2,1,1162,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D101,664667,Denver,CO,80205,2,2,1,1248,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 Arapahoe St,D308,383937,Denver,CO,80205,0,1,1,675,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2525 W 65th Pl,,234500,Denver,CO,80221,2,1,,1000,17860,Single Family Home,EQUITY COLORADO,2017-03-16
2530 Lawrence St,A102,799899,Denver,CO,80205,3,3,2,1962,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2530 Lawrence St,A203,291797,Denver,CO,80205,0,1,,519,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2533 Bryant St,,500000,Denver,CO,80211,2,3,2,1635,3944,Condo/Townhome/Row/H,REALTY PROFESSIONALS  LLC,2017-03-16
2540 S Washington St,,574900,Denver,CO,80210,3,2,1,2000,6000,Single Family Home,Kentwood City Properties,2017-03-16
255 Ash St,,1195000,Denver,CO,80220,3,5,2,3620,6880,Single Family Home,Kentwood Company,2017-03-16
255 S Cherry St,,1498000,Denver,CO,80246,4,5,2,4416,9940,Single Family Home,Perry & Co. - Main Office,2017-03-16
2550 Lawrence St,B303,499427,Denver,CO,80205,1,1,1,960,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2550 Lawrence St,B204,503999,Denver,CO,80205,1,1,1,913,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2552 E Alameda Ave,14,1395000,Denver,CO,80209,3,4,2,4401,,Condo/Townhome/Row/H,Kentwood Company,2017-03-16
2560 17th St,203,540000,Denver,CO,80211,2,3,2,1444,,Condo/Townhome/Row/H,NOSTALGIC HOMES,2017-03-16
2560 Lawrence St,C208,761431,Denver,CO,80205,3,3,2,1738,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2560 Lawrence St,C101,798597,Denver,CO,80205,2,3,2,1765,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2560 Lawrence St,C105,505377,Denver,CO,80205,1,1,1,943,,Condo/Townhome/Row/H,Treehouse Brokerage & Development,2017-03-16
2567 S Bannock St,,609000,Denver,CO,80223,4,4,2,2853,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2569 S Bannock St,,619000,Denver,CO,80223,4,4,2,2874,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2589 Arapahoe St,C06,899936,Denver,CO,80205,3,3,2,2414,,Single Family Home,Treehouse Brokerage & Development,2017-03-16
260 S Madison St,,1300000,Denver,CO,80206,4,5,2,4219,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2600 E Cedar Ave,,969500,Denver,CO,80209,,,,8883,,Land,Kentwood Real Estate at Cherry Creek,2017-03-16
2605 S Wolff St,,385000,Denver,CO,80219,4,2,4,2850,13504,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
2610 S Humboldt St,,475000,Denver,CO,80210,3,2.5,2,1611,6870,Single Family Home,RE/MAX Alliance - Boulder,2017-03-16
2620 S Williams St,,1175000,Denver,CO,80210,6,4,2,4999,6250,Single Family Home,MADISON AND COMPANY PROPERTIES,2017-03-16
2620 S York St,,521000,Denver,CO,80210,4,2,2,1836,6250,Single Family Home,Metrolink Realty,2017-03-16
2631 Irving St,,999999,Denver,CO,80211,5,6,2,3474,4780,Single Family Home,Cherry Creek Properties LLC,2017-03-16
2635 E Cedar Ave,,1650000,Denver,CO,80209,6,6,3,5253,8235,Single Family Home,Kentwood Company,2017-03-16
2636 Albion St,,569500,Denver,CO,80207,3,2,5,2330,5950,Single Family Home,Buildings & Residences - Denver,2017-03-16
2639 Bryant St,,499000,Denver,CO,80211,3,2,,1707,4470,Single Family Home,RE/MAX Masters Millennium,2017-03-16
2639 Bryant St,,499000,Denver,CO,80211,,,,4470,,Land,RE/MAX Masters Millennium,2017-03-16
2640 E Cherry Creek South Dr,,1295000,Denver,CO,80209,3,3,3,6544,5760,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
2641 S Kearney St,,574900,Denver,CO,80222,6,5,2,4112,9583,Single Family Home,RE/MAX Masters Millennium,2017-03-16
2649 17th St,1,1350000,Denver,CO,80211,4,4,2,3258,,Condo/Townhome/Row/H,Modus Real Estate,2017-03-16
2653 Jasmine St,,475000,Denver,CO,80207,3,2,2,2399,6200,Single Family Home,PorchLight Real Estate Group,2017-03-16
2653 W 32nd Ave,,1389000,Denver,CO,80211,5,5,8,4849,11761,Single Family Home,LIV Sotheby's International Realty,2017-03-16
2657 S Osceola St,,408900,Denver,CO,80219,3,2,3,1438,6700,Single Family Home,Relogic,2017-03-16
2660 S University Blvd,C,545000,Denver,CO,80210,3,2.5,2,2362,1108,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
267 S Jackson St,,984900,Denver,CO,80209,1,1,2,852,6250,Single Family Home,Keller Williams Integrity Real Estate,2017-03-16
2676 S Madison St,,1395000,Denver,CO,80210,6,5,2,4370,6370,Single Family Home,Mb Dokken Real Estate,2017-03-16
2681 Cherry St,,635000,Denver,CO,80207,3,3,2,2178,5950,Single Family Home,Kentwood City Properties,2017-03-16
2681 S Adams St,,549900,Denver,CO,80210,3,2,1,2017,6500,Single Family Home,Brix Real Estate  LLC,2017-03-16
2685 Locust St,,599000,Denver,CO,80207,4,3,2,2418,8750,Single Family Home,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
27 Polo Club Cir,,2250000,Denver,CO,80209,5,4,4,5469,19166,Single Family Home,MB DENVER COLORADO REALTY,2017-03-16
270 S Clarkson St,,760000,Denver,CO,80209,3,3,2,2635,6340,Single Family Home,Brokers Guild Classic,2017-03-16
270 S Kearney St,,1507500,Denver,CO,80224,4,5,2,4600,7550,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
270 S Kearney St,,550000,Denver,CO,80224,,,,7550,,Land,Kentwood Real Estate at Cherry Creek,2017-03-16
2700 E Cherry Creek South Dr,210,319000,Denver,CO,80209,1,1,1,782,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2715 W 37th Ave,,845000,Denver,CO,80211,4,4,2,3390,9701,Single Family Home,Real Estate Denver Team,2017-03-16
272 S Sherman St,,795000,Denver,CO,80209,5,4,5,3046,5950,Single Family Home,TRELORA,2017-03-16
272 and 274 S Sherman St,,795000,Denver,CO,80209,5,4,5,3046,5950,Multi-Family,TRELORA,2017-03-16
2721 W 24th Ave,105,474600,Denver,CO,80211,2,4,1,1486,840,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
2733 W 28th Ave,9,589900,Denver,CO,80211,2,4,2,1714,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2733 W 28th Ave,2,554900,Denver,CO,80211,2,4,2,1610,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2737 W 24th Ave,8,650160,Denver,CO,80211,2,4,2,1680,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
2737 W 24th Ave,6,499500,Denver,CO,80211,2,4,1,1332,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
2739 W 24th Ave,3,574368,Denver,CO,80211,2,4,2,1488,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
2739 W 24th Ave,1,655200,Denver,CO,80211,2,3,2,1680,,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
274 Monroe St,,1149000,Denver,CO,80206,3,4,2,3074,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
2740/42 Hazel Ct,,1185000,Denver,CO,80211,4,5,3,4315,,Condo/Townhome/Row/H,Aspen Gold Realty,2017-03-16
2741 W 28th Ave,7,555000,Denver,CO,80211,2,4,2,1610,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2741 W 28th Ave # 5,,554900,Denver,CO,80211,2,,2,1610,900,Multi-Family,Real Estate Denver Team,2017-03-16
2743 Bryant St,,575000,Denver,CO,80211,,,,5589,,Land,The Meridian Group,2017-03-16
2743 Bryant St,,575000,Denver,CO,80211,,,,5587,,Land,The Meridian Group,2017-03-16
2744 Decatur St,,549000,Denver,CO,80211,3,4,2,1661,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2746 Decatur St,,625000,Denver,CO,80211,3,4,2,1690,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2747 California St,,415000,Denver,CO,80205,2,2,2,1779,,Condo/Townhome/Row/H,Colorado Flat Fee Realty  Inc.,2017-03-16
2747 W 25th Ave,,899900,Denver,CO,80211,4,4,2,2722,3000,Single Family Home,RE/MAX Professionals,2017-03-16
275 Eudora St,,1850000,Denver,CO,80220,6,6,2,5324,6250,Single Family Home,Kentwood City Properties,2017-03-16
2750 E Bates Ave,,1249700,Denver,CO,80210,5,4,2,4098,16117,Single Family Home,Kentwood Company,2017-03-16
2753 Bryant St,,560000,Denver,CO,80211,2,1,1,1387,5587,Single Family Home,Parkview Real Estate,2017-03-16
2753 Bryant St,,560000,Denver,CO,80211,,,,5587,,Land,Parkview Real Estate,2017-03-16
2777 S Elmira St,17,665000,Denver,CO,80231,3,4,2,3932,429502,Single Family Home,Kentwood Company,2017-03-16
2788 Syracuse St,212,325000,Denver,CO,80238,3,2,1,1148,,Condo/Townhome/Row/H,Tjc Real Estate,2017-03-16
2792 Joliet St,,685000,Denver,CO,80238,4,4,3,3519,5000,Single Family Home,New Perspective Real Estate,2017-03-16
2800 S University Blvd,136,799000,Denver,CO,80210,3,3,2,3598,,Condo/Townhome/Row/H,RE/MAX Professionals,2017-03-16
2800 S University Blvd,32,765000,Denver,CO,80210,3,4,2,4952,899,Condo/Townhome/Row/H,MADISON AND COMPANY PROPERTIES,2017-03-16
2800 S University Blvd,42,650000,Denver,CO,80210,3,3,2,3598,,Condo/Townhome/Row/H,Elite Home Colorado,2017-03-16
2800 S University Blvd,153,729900,Denver,CO,80210,2,4,2,4952,,Condo/Townhome/Row/H,Holsinger & Co.,2017-03-16
2800 S University Blvd,97,735000,Denver,CO,80210,3,3,2,4796,836,Condo/Townhome/Row/H,RE/MAX Professionals,2017-03-16
2801 W 23rd Ave,,599999,Denver,CO,80211,3,4,1,2076,,Condo/Townhome/Row/H,The Talarico Company Llc,2017-03-16
2801 W 25th Ave,,569900,Denver,CO,80211,2,3,2,1337,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2805 W 25th Ave,,494900,Denver,CO,80211,2,3,2,1293,,Condo/Townhome/Row/H,Real Estate Denver Team,2017-03-16
2806 W 24th Ave,,608000,Denver,CO,80211,2,3,2,1556,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2807 N Saint Paul St,,494900,Denver,CO,80205,3,2,2,1367,6670,Single Family Home,Cherry Creek Properties LLC,2017-03-16
2808 W 24th St,,608000,Denver,CO,80211,2,3,2,1556,,Condo/Townhome/Row/H,Kentwood City Properties,2017-03-16
2808 W Parkside Pl,,450000,Denver,CO,80211,3,4,2,1984,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Southwest ,2017-03-16
281 N Sherman St,,669000,Denver,CO,80203,3,3,,2518,3225,Single Family Home,KELLER WILLIAMS REALTY-DENVER SOUTHEAST,2017-03-16
2810 W Parkside Pl,,459000,Denver,CO,80221,4,2,2,1930,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Southwest ,2017-03-16
2812 Fulton St,,639900,Denver,CO,80238,4,4,2,3368,5200,Single Family Home,Stapleton Mortgage And Realty,2017-03-16
2812 W 4th Ave,,224499,Denver,CO,80219,2,1,3,934,6500,Single Family Home,Sonja Arney Properties,2017-03-16
2814 Elmira St,,695000,Denver,CO,80238,6,4,2,4006,4578,Single Family Home,RE/MAX Alliance,2017-03-16
2814 Elmira St,,695000,Denver,CO,80238,6,3.5,2,4006,4578,Single Family Home,RE/MAX Alliance,2017-03-16
2815 S High St,,529850,Denver,CO,80210,4,1,2,1651,7450,Single Family Home,RE/MAX Masters Millennium,2017-03-16
2818 W Parkside Pl,,395000,Denver,CO,80221,2,3,1,1744,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Southwest ,2017-03-16
2820 Holly St,,545000,Denver,CO,80207,4,2,1,2238,7810,Single Family Home,KELLER WILLIAMS ACTION REALTY,2017-03-16
2820 W 32nd Ave,,590000,Denver,CO,80211,2,4,2,1519,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Southwest ,2017-03-16
2821 E Cedar Ave,21,1200000,Denver,CO,80209,,,,,10019,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,22,1050000,Denver,CO,80209,,,,9048,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,23,950000,Denver,CO,80209,,,,8144,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,4,975000,Denver,CO,80209,,,,8000,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,13,975000,Denver,CO,80209,,,,7530,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,14,1025000,Denver,CO,80209,,,,,10890,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,19,1100000,Denver,CO,80209,,,,,10019,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,17,1100000,Denver,CO,80209,,,,8032,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,1,1350000,Denver,CO,80209,,,,,11761,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,12,975000,Denver,CO,80209,,,,8457,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,20,1100000,Denver,CO,80209,,,,,10019,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,11,950000,Denver,CO,80209,,,,7538,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,18,1300000,Denver,CO,80209,,,,9479,,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,2,1300000,Denver,CO,80209,,,,,10454,Land,LIV Sotheby's International Realty,2017-03-16
2821 E Cedar Ave,16,1100000,Denver,CO,80209,,,,7772,,Land,LIV Sotheby's International Realty,2017-03-16
2821 N Xenia St,,715000,Denver,CO,80238,4,4,2,3404,3786,Single Family Home,LIV Sotheby's International Realty,2017-03-16
2825 E Alameda Ave,,1200000,Denver,CO,80209,4,4,3,4640,6379,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
2828 W 32nd Ave,,530000,Denver,CO,80211,2,4,2,1449,,Condo/Townhome/Row/H,Coldwell Banker Residential Brokerage - Southwest ,2017-03-16
