address,unit_number,price,city,state,zipcode,beds,baths,garage,property_size,lot_size,property_type,broker,date_scraped
1077 S Pearl St,,574900,Denver,CO,80209,2,1,3,1673,4690,Single Family Home,PARKSIDE REALTY & DEV COMPANY,2017-03-16
1077 S Pearl St,,574900,Denver,CO,80209,2,1,3,1673,4690,Multi-Family,PARKSIDE REALTY & DEV COMPANY,2017-03-16
1080 S Washington St,,699000,Denver,CO,80209,3,3,2,1592,3120,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1090 N Lafayette St,703,389900,Denver,CO,80218,2,2,1,1050,,Condo/Townhome/Row/H,RE/MAX OF CHERRY CREEK  INC.,2017-03-16
11 S Garfield St,,780000,Denver,CO,80209,4,5,2,2644,,Condo/Townhome/Row/H,PorchLight Real Estate Group,2017-03-16
110 S Oneida St,,1149000,Denver,CO,80230,6,4,3,4820,9093,Single Family Home,Kentwood Real Estate at Cherry Creek,2017-03-16
1100 Cherokee St,403,575000,Denver,CO,80204,2,2,2,1665,,Condo/Townhome/Row/H,LIV Sotheby's International Realty,2017-03-16
1100 N Grant St,202,462500,Denver,CO,80203,2,2,1,1348,,Condo/Townhome/Row/H,Cherry Creek Properties LLC,2017-03-16
1100 N Humboldt St,,3775000,Denver,CO,80218,6,7,2,7023,8250,Single Family Home,Coldwell Banker Residential Brokerage - Devonshire,2017-03-16
1100 N Logan St,7,350000,Denver,CO,80203,2,1,1,1061,,Condo/Townhome/Row/H,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
1100 N Logan St,10,355000,Denver,CO,80203,2,1,,1046,,Condo/Townhome/Row/H,Cherry Creek Properties LLC,2017-03-16
1101 S Clarkson St,,965000,Denver,CO,80210,4,4,2,3009,5340,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1105 S Monaco Pkwy,,225000,Denver,CO,80224,2,2,2,1586,,Condo/Townhome/Row/H,Al Galperin,2017-03-16
11068 Decatur St,,654900,Denver,CO,80234,4,4,3,4731,10454,Single Family Home,Signature Real Estate Corp.,2017-03-16
1110 Leyden St,,1155000,Denver,CO,80220,6,5,2,4667,6900,Single Family Home,LIV Sotheby's International Realty,2017-03-16
1113 E 14th Ave,,3000000,Denver,CO,80218,14,13,8,10000,6125,Multi-Family,MADISON AND COMPANY PROPERTIES,2017-03-16
1114 N Emerson St,,825000,Denver,CO,80218,3,4,2,3100,3510,Single Family Home,PorchLight Real Estate Group,2017-03-16
1116 S Knox Ct,,264900,Denver,CO,80219,3,1,2,900,6050,Single Family Home,KELLER WILLIAMS REALTY DOWNTWN,2017-03-16
